59.166.0.0,1390,149.171.126.6,53,udp,CON,0.001055,132,164,31,29,0,0.1,dns,500473.9375,621800.9375,2,2.1,0.2,0.3,0.4,0.5,66,82,0.6,0.7,0.8,0.9,1421927414,1421927414.1,0.017,0.013,0.10,0.11,0.12,0.13,0.14,0.15,0.16,0.17,3,7,1,3.1,1.1,1.2,1.3,Unnamed: 47,0.18
59.166.0.0,62613,149.171.126.6,15816,udp,CON,0.00178,520,304,31,29,0,0,-,1752809.0,1024719.063,4,4,0,0,0,0,130,76,0,0,0.66468,0.292512,1421952337,1421952337,0.474,0.212333,0.0,0.0,0.0,0,0,0,0,0,5,5,4,4,1,1,2,,0
59.166.0.8,28607,149.171.126.6,53,udp,CON,0.000987,146,178,31,29,0,0,dns,591692.0,721377.9375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421953179,1421953179,0.001,0.009,0.0,0.0,0.0,0,0,0,0,0,4,3,4,2,1,1,1,,0
59.166.0.5,44569,149.171.126.9,53,udp,CON,0.000993,146,178,31,29,0,0,dns,588116.8125,717019.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421941343,1421941343,0.001,0.006,0.0,0.0,0.0,0,0,0,0,0,1,4,2,1,1,1,1,,0
59.166.0.0,18652,149.171.126.3,39373,udp,CON,0.001792,528,304,31,29,0,0,-,1767857.125,1017857.125,4,4,0,0,0,0,132,76,0,0,0.635454,0.325278,1421936280,1421936280,0.455333,0.235,0.0,0.0,0.0,0,0,0,0,0,3,8,5,3,1,1,3,,0
59.166.0.9,20935,149.171.126.7,53,udp,CON,0.000995,130,162,31,29,0,0,dns,522613.0625,651256.25,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421930672,1421930672,0.002,0.006,0.0,0.0,0.0,0,0,0,0,0,1,1,5,3,1,1,1,,0
59.166.0.5,62721,149.171.126.8,7226,tcp,FIN,0.2253,8928,320,31,29,4,1,ftp-data,294398.5938,9480.692383,14,6,255,255,96191471,407586797,638,53,0,0,1596.625791,68.279484,1421941152,1421941152,17.33077,44.919,0.000782,0.000585,0.000197,0,0,0,0,0,1,1,3,4,1,1,2,,0
59.166.0.9,8772,149.171.126.6,45305,tcp,FIN,0.385252,4976,3080,31,29,7,7,-,99654.25,61840.04297,28,30,255,255,1328454895,1331575527,178,103,0,0,824.292538,21.213361,1421953688,1421953688,14.256482,13.266379,0.000643,0.000523,0.00012,0,0,0,0,0,7,14,5,5,1,1,3,,0
59.166.0.4,51805,149.171.126.0,80,tcp,FIN,1.132731,1684,10168,31,29,3,5,http,11045.87109,67828.99219,14,18,255,255,2998595561,850119678,120,565,1,3924,8834.548589,7735.6618,1421943959,1421943960,87.104844,66.597647,0.000721,0.000563,0.000158,0,0,1,0,0,1,1,2,4,1,1,1,,0
59.166.0.0,47628,149.171.126.2,53915,tcp,FIN,0.050797,2542,23508,31,29,7,14,-,390416.75,3614229.25,40,42,255,255,2015854573,4267824734,64,560,0,0,0.0,74.834585,1421929591,1421929591,1.292308,1.224829,0.000729,0.000575,0.000154,0,0,0,0,0,12,12,4,2,1,1,1,,0
59.166.0.9,10607,149.171.126.6,53,udp,CON,0.00105,146,178,31,29,0,0,dns,556190.5,678095.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421935508,1421935508,0.011,0.006,0.0,0.0,0.0,0,0,0,0,0,4,3,3,4,3,1,1,,0
59.166.0.3,54873,149.171.126.8,60686,tcp,FIN,0.222591,424,8824,31,29,1,4,ftp-data,13333.87305,290721.5625,8,12,255,255,1324574019,1427168135,53,735,0,0,2154.309937,1717.151876,1421934779,1421934779,31.749713,20.18809,0.000641,0.000516,0.000125,0,0,0,0,0,2,2,4,5,1,1,2,,0
10.40.182.1,0,224.0.0.5,0,ospf,REQ,50.004372,384,0,1,0,0,0,-,51.195522,0.0,6,0,0,0,0,0,64,0,0,0,0.0,0.0,1421933437,1421933487,10000.878,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,4,2,2,4,2,,0
59.166.0.7,1555,149.171.126.4,22,tcp,FIN,0.254802,3728,5474,31,29,7,7,ssh,113405.7109,164708.2969,32,24,255,255,3567253699,3571764620,117,228,0,0,544.346129,16.697752,1421949511,1421949511,8.219419,11.046435,0.000733,0.000597,0.000136,0,0,0,0,0,3,1,1,4,1,1,1,,0
59.166.0.9,38169,149.171.126.2,9125,tcp,FIN,0.3152,4872,2976,31,29,7,7,-,118908.6328,72842.64063,26,28,255,255,1290904524,3439453013,187,106,0,0,818.506286,21.870316,1421953677,1421953677,12.59512,11.653333,0.000696,0.000555,0.000141,0,0,0,0,0,11,9,3,4,1,1,3,,0
59.166.0.6,62598,149.171.126.1,80,tcp,FIN,0.033119,1044,822,31,29,2,2,http,220779.6094,178749.3594,8,10,255,255,382222996,388598708,131,82,1,82,304.129138,8.146313,1421928245,1421928245,4.676286,3.626,0.00062,0.000482,0.000138,0,0,1,0,0,3,1,8,6,1,1,3,,0
175.45.176.1,3470,149.171.126.13,80,tcp,FIN,1.199475,822,3150,62,252,2,2,http,4935.492188,18388.04492,10,8,255,255,1609502595,3647630781,82,394,0,0,7685.328823,334.601063,1421930790,1421930791,133.275,160.652719,0.155865,0.074275,0.08159,0,1,0,0,0,1,1,1,5,1,1,1,Exploits,1
59.166.0.0,8589,149.171.126.1,58611,tcp,FIN,0.046406,320,1894,31,29,1,2,-,46028.53125,285825.0938,6,8,255,255,284531787,488531078,53,237,0,0,642.306965,15.736488,1421934223,1421934223,9.2164,6.555857,0.000646,0.000508,0.000138,0,0,0,0,0,7,6,2,4,1,1,2,,0
59.166.0.7,34340,149.171.126.1,41165,tcp,FIN,0.16085,4862,80646,31,29,7,36,-,238980.4063,3964389.0,84,86,255,255,683881426,730452713,58,938,0,0,97.104008,96.141425,1421934080,1421934080,1.933916,1.885271,0.000743,0.000597,0.000146,0,0,0,0,0,9,17,2,2,1,1,1,,0
